systype,sysid,description,default_string,translation,context
1,1,Screen label for Ticket (Singular),Ticket,Ticket,
1,2,Screen label for Tickets (Plural),Tickets,Tickets,
1,3,Screen label for Agent (Singular),Agent,Agent,
1,4,Screen label for Agents (Plural),Agents,Agents,
1,5,Screen label for Team (Singular),Team,Team,
1,6,Screen label for Teams (Plural),Teams,Teams,
1,7,Screen label for Client/Customer (Singular),Client,Client,
1,8,Screen label for Client/Customer (Plural),Clients,Clients,
1,9,Screen label for Site (Singular),Site,Site,
1,10,Screen label for Site (Plural),Sites,Sites,
1,11,Screen label for User (Singular),User,User,
1,12,Screen label for User (Plural),Users,Users,
1,13,Screen label for Supplier (Singular),Supplier,Supplier,
1,14,Screen label for Supplier (Plural),Suppliers,Suppliers,
1,15,Screen label for Asset (Singular),Asset,Asset,
1,16,Screen label for Assets (Plural),Assets,Assets,
1,17,Screen label for Category (Singular),Category,Category,
1,18,Screen label for Category (Plural),Categories,Categories,
1,19,Screen label for Category Group 1,Category,Category,
1,20,Screen label for Category Group 2,Resolution Category,Resolution Category,
1,21,Screen label for Category Group 3,Category 3,Category 3,
1,22,Screen label for Category Group 4,Category 4,Category 4,
1,23,Screen label for Ticket Type (Singular),$#request Type,Ticket Type,
1,24,Screen label for Ticket Types (Plural),$#request Types,Ticket Types,
1,25,Screen Label for Service (Singular),Service,Service,
1,26,Screen Label for Service (Plural),Services,Services,
1,27,Screen label for Department (Singular),Department,Department,
1,28,Screen label for Department (Plural),Departments,Departments,
1,29,Screen label for Organisation (Singular),Organisation,Organization,
1,30,Screen label for Organisation (Plural),Organisations,Organizations,
1,31,Screen label for Appointment (Singular),Appointment,Appointment,
1,32,Screen label for Appointments (Plural),Appointments,Appointments,
1,33,Screen label for Task (Singular),Task,Task,
1,34,Screen label for Tasks (Plural),Tasks,Tasks,
1,35,Screen label for Holiday (Singular),Holiday,Holiday,
1,36,Screen label for Holiday (Plural),Holidays,Holidays,
1,37,Screen label for Action (Singular),Action,Action,
1,38,Screen label for Action (Plural),Actions,Actions,
1,39,Screen label for Contract (Singular),Contract,Contract,
1,40,Screen label for Contract (Plural),Contracts,Contracts,
1,41,Screen label for Report (Singular),Report,Report,
1,42,Screen label for Reports (Plural),Reports,Reports,
1,43,Screen label for Status (Singular),Status,Status,
1,44,Screen label for Status (Plural),Statuses,Statuses,
1,45,Screen label for Phone Call (Singular),Call,Call,
1,46,Screen label for Phone Call (Plural),Calls,Calls,
1,47,Screen label for Notification (Singular),Notification,Notification,
1,48,Screen label for Notifications (Plural),Notifications,Notifications,
1,49,Screen label for End-User (Singular),End-User,End-User,
